Q95,Q7min,BFI,Q710,MAF,Qmed,Q10,MaxQ,MedAMax,Max30Day,Flashiness,RBI,CV,Model,Period,Scenario,Catchment
3.823955,3.528242857,0.563532937,3.54549,8.828765231,7.2414,15.58,55.022,28.9875,802.459,4.922246731,0.082989649,59.5671511,CM1.ssp1,Baseline,ssp1,6013
3.907025,3.578671429,0.553166193,3.60771,8.918928993,7.3247,15.9536,58.963,28.7125,828.061,4.859886998,0.081970104,58.52762795,CM2.ssp1,Baseline,ssp1,6013
3.833585,3.485342857,0.569842077,3.55836,8.698594223,7.22485,15.0783,64.654,28.7675,778.099,4.720333578,0.08067098,57.87312448,CM3.ssp1,Baseline,ssp1,6013
3.8427,3.5062,0.560634032,3.52926,8.63584749,6.9851,15.673,45.561,32.391,727.379,5.007273532,0.080499679,60.20338677,CM4.ssp1,Baseline,ssp1,6013
3.82887,3.495414286,0.567158851,3.55996,8.734369556,7.3057,15.3676,54.601,28.2315,724.522,4.782821041,0.080410906,56.1891283,CM5.ssp1,Baseline,ssp1,6013
3.877985,3.471828571,0.572503337,3.53836,8.633705138,6.99895,15.5992,53.202,27.1725,725.613,4.82383248,0.076791743,58.64810383,CM6.ssp1,Baseline,ssp1,6013
3.835105,3.443057143,0.56869845,3.54917,8.775784422,7.17535,15.2973,63.483,29.0045,721.9525,4.964401235,0.081821021,59.51222749,CM7.ssp1,Baseline,ssp1,6013
3.88398,3.454071429,0.570499918,3.59372,8.563016134,6.7663,15.5015,58.178,29.904,707.932,4.879440677,0.08093684,61.30947832,CM8.ssp1,Baseline,ssp1,6013
3.951125,3.5342,0.564634663,3.61466,8.921875205,7.336,15.8542,54.362,30.352,655.189,4.870625455,0.082871047,58.00518113,CM9.ssp1,Baseline,ssp1,6013
3.8688,3.448771429,0.564577558,3.58287,8.883854709,7.19445,16.0523,46.094,30.7295,753.734,5.054926592,0.085586436,59.54698332,CM10.ssp1,Baseline,ssp1,6013
3.8239,3.510128571,0.563154989,3.55403,8.791585079,7.2207,15.7344,69.992,28.771,721.725,4.911163995,0.079589603,58.42004502,CM11.ssp1,Baseline,ssp1,6013
3.829785,3.522585714,0.575222225,3.55848,8.78986378,7.3121,15.7634,52.928,26.789,840.252,4.951008999,0.081028819,57.1602441,CM12.ssp1,Baseline,ssp1,6013
3.80326,3.407842857,0.576917731,3.54078,8.510745533,6.9122,15.1104,52.735,27.0765,866.694,4.87718431,0.081470479,58.83552238,CM1.ssp1,2020s,ssp1,6013
3.8248,3.471628571,0.524502157,3.56103,9.088237173,7.4095,16.2718,70.718,34.622,820.6351,5.308094541,0.09056217,65.00052128,CM2.ssp1,2020s,ssp1,6013
3.88204,3.4918,0.555298939,3.54285,9.300035785,7.8039,16.5026,49.482,31.162,715.979,5.152394102,0.086922933,57.90485549,CM3.ssp1,2020s,ssp1,6013
4.02948,3.504271429,0.537089098,3.53785,10.73360085,8.8184,19.2644,67.909,38.0485,849.089,5.884977714,0.099498429,61.63308135,CM4.ssp1,2020s,ssp1,6013
3.70544,3.440414286,0.542336496,3.49939,8.474259122,6.8729,15.1974,47.579,28.206,831.517,5.035461376,0.083570939,62.53540086,CM5.ssp1,2020s,ssp1,6013
3.7128,3.469314286,0.538839971,3.49021,8.709450397,7.0142,15.7714,46.994,33.5135,674.737,5.187890541,0.08384059,61.54546015,CM6.ssp1,2020s,ssp1,6013
3.73798,3.436342857,0.584483866,3.52698,8.250013872,6.7708,14.5838,54.031,28.6565,747.859,4.701148749,0.080165125,58.55306901,CM7.ssp1,2020s,ssp1,6013
3.94106,3.537071429,0.583083647,3.58922,8.521933385,6.9041,15.124,49.085,30.0785,780.864,4.742074467,0.081816949,58.90001076,CM8.ssp1,2020s,ssp1,6013
3.84886,3.496342857,0.551208715,3.56757,8.818075386,7.0842,16.1552,55.886,29.6295,860.833,5.050586407,0.084315657,61.49367577,CM9.ssp1,2020s,ssp1,6013
3.81208,3.537471429,0.532595306,3.56021,9.275710742,7.2209,17.6824,57.154,34.955,802.277,5.593009591,0.091459942,64.84813576,CM10.ssp1,2020s,ssp1,6013
3.75328,3.509642857,0.512194275,3.52909,8.847619385,6.9483,16.349,59.588,31.074,831.157,5.389366101,0.083480788,65.60401541,CM11.ssp1,2020s,ssp1,6013
4.04396,3.536342857,0.564479899,3.652,9.225483508,7.3251,16.8432,55.715,35.202,773.327,5.090109694,0.092385668,62.72389055,CM12.ssp1,2020s,ssp1,6013
3.8589,3.5018,0.556671211,3.57789,8.832547655,7.0766,15.8495,66.655,33.3035,757.066,5.159320013,0.090327991,64.37589909,CM1.ssp1,2050s,ssp1,6013
3.75126,3.469914286,0.535457239,3.51503,9.576021446,7.8401,17.2326,79.158,29.7085,879.122,5.524623726,0.093998483,63.22836913,CM2.ssp1,2050s,ssp1,6013
3.87051,3.442142857,0.569992638,3.58646,8.92358017,7.33445,15.6633,51.098,30.3445,735.389,4.949412351,0.083584999,59.30297655,CM3.ssp1,2050s,ssp1,6013
4.118365,3.467171429,0.538759593,3.69427,10.78904223,8.8251,19.4195,74.258,39.532,1003.383,5.733840978,0.100767593,63.92962155,CM4.ssp1,2050s,ssp1,6013
3.790885,3.454971429,0.48585826,3.53063,9.771882853,7.34825,18.5372,83.421,41.5145,1023.075,6.236459296,0.100030108,71.87621204,CM5.ssp1,2050s,ssp1,6013
3.724585,3.467185714,0.538233753,3.53962,8.735563269,7.11075,15.4955,111.92,28.252,917.662,5.081841333,0.083984455,62.85156878,CM6.ssp1,2050s,ssp1,6013
3.6843,3.422614286,0.557655446,3.48093,8.303917823,6.8046,14.6163,68.093,30.1635,717.571,4.810411747,0.082728938,61.41436787,CM7.ssp1,2050s,ssp1,6013
3.76978,3.416585714,0.54576039,3.50629,8.772622723,7.20115,16.0493,47.669,28.6445,705.361,5.158444259,0.084766224,59.20086774,CM8.ssp1,2050s,ssp1,6013
3.8156,3.4912,0.543880177,3.56969,8.908533911,7.2681,16.1126,67.35,30.435,680.562,5.223372471,0.086930516,61.73964104,CM9.ssp1,2050s,ssp1,6013
3.7803,3.464214286,0.530677922,3.54759,9.120126921,7.2196,17.0333,49.987,33.038,729.363,5.586236542,0.089253486,63.06695334,CM10.ssp1,2050s,ssp1,6013
3.82601,3.5026,0.553316627,3.58023,8.88478632,7.1804,16.1346,66.154,31.307,871.967,5.138708472,0.087100229,60.59277404,CM11.ssp1,2050s,ssp1,6013
4.009085,3.507971429,0.593210646,3.58833,8.650384194,7.0481,15.2202,42.693,27.9955,725.3798,4.757008145,0.085280565,57.70599495,CM12.ssp1,2050s,ssp1,6013
3.8622,3.474871429,0.574131368,3.53894,8.542992544,6.8238,15.2882,94.135,31.597,818.205,4.861788618,0.085916172,65.67706072,CM1.ssp1,2080s,ssp1,6013
3.96154,3.4949,0.548544467,3.6008,9.553099735,7.8362,17.245,54.087,33.244,741.428,5.259368831,0.09253908,59.91507258,CM2.ssp1,2080s,ssp1,6013
3.8772,3.4887,0.537502187,3.51861,9.373171169,7.4299,17.5322,65.572,31.315,768.005,5.451459816,0.087001305,61.94250284,CM3.ssp1,2080s,ssp1,6013
4.1885,3.562085714,0.513690159,3.62883,11.19721664,8.8316,21.2454,86.945,41.526,911.999,6.126298197,0.103599024,65.37179593,CM4.ssp1,2080s,ssp1,6013
3.82338,3.466528571,0.496714743,3.57926,9.685438313,7.3415,18.2962,83.529,36.309,1088.499,5.99333574,0.099171909,70.84389088,CM5.ssp1,2080s,ssp1,6013
3.68448,3.434714286,0.521548428,3.48358,8.696028511,6.8084,16.4766,67.31,32.5285,752.303,5.428391523,0.083892069,65.4632996,CM6.ssp1,2080s,ssp1,6013
