Catchment,Period,cliffs_delta,ci_low,ci_high,Indicator,Comparison
12001,2080s,-0.8055555555555556,-1,-0.46671959389751144,Pct_Q95,SSP5 vs SSP1
14007,2080s,-0.9166666666666666,-1,-0.7085979694875572,Pct_Q95,SSP5 vs SSP1
15003,2080s,-0.8055555555555556,-1,-0.4688382120514079,Pct_Q95,SSP5 vs SSP1
15006,2080s,-0.7916666666666666,-1,-0.40286598982918564,Pct_Q95,SSP5 vs SSP1
15007,2080s,-0.7916666666666666,-1,-0.42657342657342656,Pct_Q95,SSP5 vs SSP1
16008,2080s,-0.9583333333333334,-1,-0.8285714285714285,Pct_Q95,SSP5 vs SSP1
16011,2080s,-0.9583333333333334,-1,-0.8321678321678322,Pct_Q95,SSP5 vs SSP1
18002,2080s,-0.8333333333333334,-1,-0.5557319796583714,Pct_Q95,SSP5 vs SSP1
18003,2080s,-0.8055555555555556,-1,-0.5385194417568215,Pct_Q95,SSP5 vs SSP1
18006,2080s,-0.8472222222222222,-1,-0.5694444444444444,Pct_Q95,SSP5 vs SSP1
18050,2080s,-0.8611111111111112,-1,-0.6002131894053607,Pct_Q95,SSP5 vs SSP1
22006,2080s,-0.9166666666666666,-1,-0.7345904894398679,Pct_Q95,SSP5 vs SSP1
22035,2080s,-0.9305555555555556,-1,-0.7473882300747021,Pct_Q95,SSP5 vs SSP1
23002,2080s,-0.8472222222222222,-1,-0.6224442440667977,Pct_Q95,SSP5 vs SSP1
24008,2080s,-0.75,-0.9686899565028231,-0.4075821512806726,Pct_Q95,SSP5 vs SSP1
24030,2080s,-0.7638888888888888,-0.972027972027972,-0.45454545454545453,Pct_Q95,SSP5 vs SSP1
25001,2080s,-0.9722222222222222,-1,-0.8667876431943119,Pct_Q95,SSP5 vs SSP1
25002,2080s,-0.8472222222222222,-1,-0.4548533947976422,Pct_Q95,SSP5 vs SSP1
25006,2080s,-0.9444444444444444,-1,-0.7777777777777778,Pct_Q95,SSP5 vs SSP1
25030,2080s,-0.8055555555555556,-1,-0.4308097049624092,Pct_Q95,SSP5 vs SSP1
25034,2080s,-0.8333333333333334,-1,-0.578125,Pct_Q95,SSP5 vs SSP1
26021,2080s,-0.875,-1,-0.6002131894053607,Pct_Q95,SSP5 vs SSP1
26058,2080s,-0.8888888888888888,-1,-0.6643356643356644,Pct_Q95,SSP5 vs SSP1
27002,2080s,-0.7777777777777778,-1,-0.37081097641912236,Pct_Q95,SSP5 vs SSP1
30007,2080s,-0.8888888888888888,-1,-0.6743563526385794,Pct_Q95,SSP5 vs SSP1
32012,2080s,-0.9305555555555556,-1,-0.7714285714285715,Pct_Q95,SSP5 vs SSP1
33001,2080s,-0.8333333333333334,-1,-0.5804195804195804,Pct_Q95,SSP5 vs SSP1
34001,2080s,-0.8888888888888888,-1,-0.6742387365700355,Pct_Q95,SSP5 vs SSP1
35002,2080s,-0.9027777777777778,-1,-0.6783784301309758,Pct_Q95,SSP5 vs SSP1
35005,2080s,-0.8888888888888888,-1,-0.6923076923076923,Pct_Q95,SSP5 vs SSP1
36015,2080s,-0.7916666666666666,-0.9996471517943677,-0.4828548831170029,Pct_Q95,SSP5 vs SSP1
36019,2080s,-0.7638888888888888,-0.9996471517943677,-0.4405594405594406,Pct_Q95,SSP5 vs SSP1
38001,2080s,-0.9027777777777778,-1,-0.7038213197722476,Pct_Q95,SSP5 vs SSP1
39009,2080s,-0.6944444444444444,-0.9440559440559441,-0.2727614883108492,Pct_Q95,SSP5 vs SSP1
6013,2080s,-0.7361111111111112,-0.9996471517943677,-0.40627940401713597,Pct_Q95,SSP5 vs SSP1
6014,2080s,-0.7361111111111112,-0.9996471517943677,-0.3596543381627918,Pct_Q95,SSP5 vs SSP1
7009,2080s,-0.8888888888888888,-1,-0.6923076923076923,Pct_Q95,SSP5 vs SSP1
7012,2080s,-0.9027777777777778,-1,-0.7063455231630648,Pct_Q95,SSP5 vs SSP1
12001,2080s,-0.7916666666666666,-1,-0.48148148148148145,Pct_Q95,SSP3 vs SSP1
