"Model","Scenario","Catchment","Period","Pct_Q95","Pct_BFI"
"CM1.ssp1","ssp1",6013,"2080s",1.00014252259767,1.88071189883264
"CM2.ssp1","ssp1",6013,"2080s",1.39530717105726,-0.835504059807934
"CM3.ssp1","ssp1",6013,"2080s",1.13770791569772,-5.67523728157407
"CM4.ssp1","ssp1",6013,"2080s",8.99888099513364,-8.373354152714
"CM5.ssp1","ssp1",6013,"2080s",-0.143384340549573,-12.4205251977986
"CM6.ssp1","ssp1",6013,"2080s",-4.98983363782995,-8.90036890736936
"CM7.ssp1","ssp1",6013,"2080s",-2.15391755897166,0.853453882281559
"CM8.ssp1","ssp1",6013,"2080s",-3.24975926755545,-9.11697869867178
"CM9.ssp1","ssp1",6013,"2080s",-0.575152646398186,-2.98767470462576
"CM10.ssp1","ssp1",6013,"2080s",2.77295285359802,-3.90092391876475
"CM11.ssp1","ssp1",6013,"2080s",0.435680849394594,-3.74110900400813
"CM12.ssp1","ssp1",6013,"2080s",0.809836583515774,-2.80501557463291
"CM1.ssp3","ssp3",6013,"2080s",-4.67827158007875,-5.51880815897795
"CM2.ssp3","ssp3",6013,"2080s",-4.25451590404463,-8.74270294942449
"CM3.ssp3","ssp3",6013,"2080s",-4.25150348824925,-10.8069905328877
"CM4.ssp3","ssp3",6013,"2080s",-1.16636739792333,-14.3199871086075
"CM5.ssp3","ssp3",6013,"2080s",-6.62049116318914,-25.027564942233
"CM6.ssp3","ssp3",6013,"2080s",-5.83202358957036,-16.098120061012
"CM7.ssp3","ssp3",6013,"2080s",-5.5102793795737,-5.73936368540063
"CM8.ssp3","ssp3",6013,"2080s",-5.30898717295147,-7.33284498986065
"CM9.ssp3","ssp3",6013,"2080s",-6.87262087956588,-12.5610457387787
"CM10.ssp3","ssp3",6013,"2080s",-3.01747311827956,-10.4558471554453
"CM11.ssp3","ssp3",6013,"2080s",-3.46818692957452,-9.67076492403297
"CM12.ssp3","ssp3",6013,"2080s",0.446891927353624,-3.10283269403029
"CM1.ssp5","ssp5",6013,"2080s",-5.91102667264652,-7.978447446905
"CM2.ssp5","ssp5",6013,"2080s",-7.01518418745721,-10.2424571372409
"CM3.ssp5","ssp5",6013,"2080s",-2.23928776849868,-11.1495978310022
"CM4.ssp5","ssp5",6013,"2080s",1.75813880865018,-15.9265603861872
"CM5.ssp5","ssp5",6013,"2080s",-7.27290297137277,-30.7567089204529
"CM6.ssp5","ssp5",6013,"2080s",-7.57571264458217,-21.0607602043666
"CM7.ssp5","ssp5",6013,"2080s",-6.76708981892282,-7.99001552196845
"CM8.ssp5","ssp5",6013,"2080s",-4.74925205588082,-5.52699578031968
"CM9.ssp5","ssp5",6013,"2080s",-7.34388920385518,-12.1800179248049
"CM10.ssp5","ssp5",6013,"2080s",-4.84491315136475,-9.51911958203857
"CM11.ssp5","ssp5",6013,"2080s",-2.86513768665499,-5.19959489655894
"CM12.ssp5","ssp5",6013,"2080s",-2.11095400916762,-8.6284645356163
"CM1.ssp1","ssp1",6014,"2080s",0.965040294255629,1.61964937591265
"CM2.ssp1","ssp1",6014,"2080s",1.03699243097998,-0.61729007912639
"CM3.ssp1","ssp1",6014,"2080s",1.29370136661508,-5.73568277891695
"CM4.ssp1","ssp1",6014,"2080s",9.23512631071689,-7.43201370292929
"CM5.ssp1","ssp1",6014,"2080s",-0.160081928844997,-12.1890190067351
"CM6.ssp1","ssp1",6014,"2080s",-5.49850052491195,-9.14062420194862
"CM7.ssp1","ssp1",6014,"2080s",-2.49588445270634,1.12665750469347
"CM8.ssp1","ssp1",6014,"2080s",-3.59197652286283,-9.22606178795253
"CM9.ssp1","ssp1",6014,"2080s",-0.642480773728445,-2.65035964937136
"CM10.ssp1","ssp1",6014,"2080s",2.77313937407161,-3.69978874755331
"CM11.ssp1","ssp1",6014,"2080s",0.27163087175401,-3.43744003470073
"CM12.ssp1","ssp1",6014,"2080s",0.503595449295515,-2.75177101264419
"CM1.ssp3","ssp3",6014,"2080s",-4.96050929658076,-6.43475370798668
"CM2.ssp3","ssp3",6014,"2080s",-4.82643628575296,-8.89438274707072
"CM3.ssp3","ssp3",6014,"2080s",-4.58697093922953,-10.9523932816592
"CM4.ssp3","ssp3",6014,"2080s",-1.30730239066515,-13.4967260562314
"CM5.ssp3","ssp3",6014,"2080s",-7.16644641393204,-25.4244268953098
"CM6.ssp3","ssp3",6014,"2080s",-6.40162971448107,-16.6144747077861
"CM7.ssp3","ssp3",6014,"2080s",-6.06471174410256,-6.60994132328033
"CM8.ssp3","ssp3",6014,"2080s",-5.77621603040315,-7.80032383189443
"CM9.ssp3","ssp3",6014,"2080s",-7.471762488478,-12.7432982527653
"CM10.ssp3","ssp3",6014,"2080s",-3.35362144760583,-10.5104164020506
"CM11.ssp3","ssp3",6014,"2080s",-3.882510593604,-9.95890406439644
"CM12.ssp3","ssp3",6014,"2080s",0.127384585173269,-3.21358885616432
"CM1.ssp5","ssp5",6014,"2080s",-6.38150067265098,-8.95670094436947
"CM2.ssp5","ssp5",6014,"2080s",-7.78421145182736,-10.8199034155961
"CM3.ssp5","ssp5",6014,"2080s",-2.48436685942261,-11.6331753308931
"CM4.ssp5","ssp5",6014,"2080s",1.63509435615422,-15.4727099326368
"CM5.ssp5","ssp5",6014,"2080s",-7.94177052164984,-31.0770720200015
"CM6.ssp5","ssp5",6014,"2080s",-8.2691171912172,-21.5509452024783
"CM7.ssp5","ssp5",6014,"2080s",-7.52039725827847,-9.0363246953913
"CM8.ssp5","ssp5",6014,"2080s",-5.33417362132294,-5.71612424283297
