Station No.,Easting ,Northing,FEMI AREA,CENTE (m),CENTN (m),SAAR (mm),FARL (index),URBEXT (Prop),FOREST (Prop),PEAT (Prop),ALLUV (Prop),FLATWET (index),SAAPE (mm),FAI (Prop),BFIsoil (index),NETLEN (km),STMFRQ (no.),DRAIND (km/km^2),MSL (km),S1085 (m/km),TAYSLO,ARTDRAIN (Prop),ARTDRAIN2 (Prop),Period,cliffs_delta,Comparison,Indicator
12001,298397,145073,1030.75,295230,173740,1167.31,0.999,0.006,0.114,0.070,0.048,0.540,521.700,0.100,0.716,1101.020,1302,1.068,89.282,2.099,0.345,0.000,0.000,2080s,-0.805555556,SSP5 vs SSP1,Pct_Q95
14007,261424,199067,118.5913,255452,193866,814.07,1.000,0.007,0.094,0.000,0.098,0.570,508.150,0.110,0.642,64.673,35,0.545,20.533,3.922,0.665,0.000,0.000,2080s,-0.916666667,SSP5 vs SSP1,Pct_Q95
15003,247934,162890,299.114,257240,174880,934.00,0.997,0.006,0.172,0.000,0.030,0.570,508.000,0.078,0.549,325.759,317,1.089,34.776,3.864,0.885,0.000,0.000,2080s,-0.805555556,SSP5 vs SSP1,Pct_Q95
15006,261733,139160,2418.27,237100,165180,941.92,0.999,0.009,0.106,0.023,0.045,0.580,513.430,0.170,0.633,2196.723,1956,0.908,117.420,0.941,0.212,0.000,0.002,2080s,-0.791666667,SSP5 vs SSP1,Pct_Q95
15007,236195,189955,339.748,223020,192070,1123.05,0.997,0.007,0.213,0.102,0.045,0.600,498.290,0.253,0.594,394.212,353,1.160,38.182,1.087,0.273,0.000,0.000,2080s,-0.791666667,SSP5 vs SSP1,Pct_Q95
16008,200193,134176,1090.25,209000,158030,1029.63,0.999,0.007,0.084,0.047,0.046,0.590,516.010,0.220,0.635,1074.903,1195,0.986,68.615,0.921,0.249,0.000,0.000,2080s,-0.958333333,SSP5 vs SSP1,Pct_Q95
16011,220860,122208,2143.67,203990,144850,1124.95,0.998,0.007,0.123,0.082,0.049,0.590,519.470,0.190,0.670,2240.004,2743,1.045,116.477,0.953,0.200,0.000,0.000,2080s,-0.958333333,SSP5 vs SSP1,Pct_Q95
18002,196493,99111,2333.69,156370,104360,1200.37,0.999,0.006,0.145,0.053,0.042,0.620,515.650,0.120,0.622,2236.950,2040,0.959,129.081,1.343,0.192,0.000,0.000,2080s,-0.833333333,SSP5 vs SSP1,Pct_Q95
18003,164677,99735,1256.698,137670,102000,1298.99,0.999,0.007,0.122,0.062,0.041,0.630,508.730,0.115,0.461,1274.337,1168,1.014,89.839,1.659,0.233,0.000,0.000,2080s,-0.805555556,SSP5 vs SSP1,Pct_Q95
18006,152546,97448,1054.784,133320,102000,1331.55,0.999,0.005,0.125,0.074,0.043,0.630,507.840,0.112,0.500,1084.257,998,1.028,75.525,1.918,0.269,0.000,0.000,2080s,-0.847222222,SSP5 vs SSP1,Pct_Q95
18050,124987,94359,249.777,118450,97670,1469.19,0.999,0.004,0.120,0.184,0.035,0.640,505.590,0.116,0.405,295.601,261,1.183,36.941,3.195,0.533,0.000,0.000,2080s,-0.861111111,SSP5 vs SSP1,Pct_Q95
22006,97283,89452,328.82,109850,89040,1819.32,0.961,0.005,0.156,0.495,0.041,0.660,503.890,0.120,0.388,415.886,543,1.265,45.138,9.421,0.697,0.000,0.000,2080s,-0.916666667,SSP5 vs SSP1,Pct_Q95
22035,89143,91131,559.65,100940,89040,2009.91,0.731,0.010,0.164,0.482,0.032,0.670,506.830,0.160,0.637,762.977,1332,1.363,56.299,7.580,0.432,0.000,0.000,2080s,-0.930555556,SSP5 vs SSP1,Pct_Q95
23002,99704,133329,646.84,109130,122100,1345.00,1.000,0.004,0.262,0.236,0.038,0.630,513.610,0.060,0.312,718.613,861,1.111,50.536,4.308,0.685,0.001,0.002,2080s,-0.847222222,SSP5 vs SSP1,Pct_Q95
24008,147984,143797,806.04,161150,133340,939.47,0.999,0.007,0.024,0.001,0.073,0.600,533.320,0.240,0.535,866.245,676,1.075,56.203,2.140,0.299,0.125,0.520,2080s,-0.75,SSP5 vs SSP1,Pct_Q95
24030,131830,129038,258.9,135390,125090,1051.24,1.000,0.011,0.028,0.006,0.040,0.610,526.120,0.210,0.526,283.812,239,1.096,27.155,2.404,0.388,0.089,0.400,2080s,-0.763888889,SSP5 vs SSP1,Pct_Q95
25001,164252,157655,647.55,178310,152980,1166.21,0.999,0.005,0.201,0.065,0.072,0.590,522.260,0.240,0.519,888.265,1030,1.372,53.239,4.073,0.376,0.085,0.046,2080s,-0.972222222,SSP5 vs SSP1,Pct_Q95
25002,167895,154922,221.6,178050,161870,1299.96,0.999,0.002,0.334,0.114,0.066,0.590,516.450,0.150,0.542,314.027,376,1.417,40.894,6.877,0.822,0.084,0.050,2080s,-0.847222222,SSP5 vs SSP1,Pct_Q95
25006,211521,224385,1162.76,227880,230990,931.99,0.955,0.019,0.075,0.101,0.060,0.630,495.060,0.250,0.708,846.172,629,0.728,67.324,0.754,0.160,0.280,0.511,2080s,-0.944444444,SSP5 vs SSP1,Pct_Q95
25030,164180,184264,279,158770,188420,1183.81,0.850,0.001,0.358,0.162,0.040,0.610,522.560,0.150,0.542,341.458,351,1.219,37.319,3.944,0.261,0.000,0.000,2080s,-0.805555556,SSP5 vs SSP1,Pct_Q95
25034,241597,246359,10.8,243720,246350,968.60,1.000,0.000,0.014,0.000,0.008,0.650,493.520,0.050,0.759,2.942,1,0.273,2.836,2.572,0.550,0.088,0.678,2080s,-0.833333333,SSP5 vs SSP1,Pct_Q95
26021,216090,257001,1098.78,236700,272650,945.25,0.807,0.004,0.074,0.075,0.022,0.660,485.700,0.190,0.828,816.976,607,0.744,90.239,0.199,0.134,0.166,0.634,2080s,-0.875,SSP5 vs SSP1,Pct_Q95
26058,249641,281175,56.068,255060,277760,974.17,0.995,0.011,0.041,0.005,0.028,0.650,488.490,0.106,0.759,26.455,19,0.472,14.380,5.635,0.390,0.106,0.702,2080s,-0.888888889,SSP5 vs SSP1,Pct_Q95
