Catchment,p_value,Comparison,Indicator
12001,3.712803551274409e-4,SSP5 vs SSP1,Pct_Q95
14007,2.2188069031520366e-5,SSP5 vs SSP1,Pct_Q95
15003,3.712803551274409e-4,SSP5 vs SSP1,Pct_Q95
15006,4.95533541703955e-4,SSP5 vs SSP1,Pct_Q95
15007,4.95533541703955e-4,SSP5 vs SSP1,Pct_Q95
16008,5.177216107354753e-6,SSP5 vs SSP1,Pct_Q95
16011,5.177216107354753e-6,SSP5 vs SSP1,Pct_Q95
18002,2.0117182588578472e-4,SSP5 vs SSP1,Pct_Q95
18003,3.712803551274409e-4,SSP5 vs SSP1,Pct_Q95
18006,1.4422244870488242e-4,SSP5 vs SSP1,Pct_Q95
18050,1.0280471984604439e-4,SSP5 vs SSP1,Pct_Q95
22006,2.2188069031520366e-5,SSP5 vs SSP1,Pct_Q95
22035,1.40524437199629e-5,SSP5 vs SSP1,Pct_Q95
23002,1.4422244870488242e-4,SSP5 vs SSP1,Pct_Q95
24008,0.0011145806676833734,SSP5 vs SSP1,Pct_Q95
24030,8.579386692187877e-4,SSP5 vs SSP1,Pct_Q95
25001,2.958409204202716e-6,SSP5 vs SSP1,Pct_Q95
25002,1.4422244870488242e-4,SSP5 vs SSP1,Pct_Q95
25006,8.875227612608148e-6,SSP5 vs SSP1,Pct_Q95
25030,3.712803551274409e-4,SSP5 vs SSP1,Pct_Q95
25034,2.0117182588578472e-4,SSP5 vs SSP1,Pct_Q95
26021,7.174142320191586e-5,SSP5 vs SSP1,Pct_Q95
26058,4.955335417039549e-5,SSP5 vs SSP1,Pct_Q95
27002,6.560272410319523e-4,SSP5 vs SSP1,Pct_Q95
30007,4.955335417039549e-5,SSP5 vs SSP1,Pct_Q95
32012,1.40524437199629e-5,SSP5 vs SSP1,Pct_Q95
33001,2.0117182588578472e-4,SSP5 vs SSP1,Pct_Q95
34001,4.955335417039549e-5,SSP5 vs SSP1,Pct_Q95
35002,3.328210354728055e-5,SSP5 vs SSP1,Pct_Q95
35005,4.955335417039549e-5,SSP5 vs SSP1,Pct_Q95
36015,4.95533541703955e-4,SSP5 vs SSP1,Pct_Q95
36019,8.579386692187877e-4,SSP5 vs SSP1,Pct_Q95
38001,3.328210354728055e-5,SSP5 vs SSP1,Pct_Q95
39009,0.0029140330661396757,SSP5 vs SSP1,Pct_Q95
6013,0.0014326096571351653,SSP5 vs SSP1,Pct_Q95
6014,0.0014326096571351653,SSP5 vs SSP1,Pct_Q95
7009,4.955335417039549e-5,SSP5 vs SSP1,Pct_Q95
7012,3.328210354728055e-5,SSP5 vs SSP1,Pct_Q95
12001,4.95533541703955e-4,SSP3 vs SSP1,Pct_Q95
14007,4.95533541703955e-4,SSP3 vs SSP1,Pct_Q95
15003,8.579386692187877e-4,SSP3 vs SSP1,Pct_Q95
15006,0.00182977609279938,SSP3 vs SSP1,Pct_Q95
15007,8.579386692187877e-4,SSP3 vs SSP1,Pct_Q95
16008,1.4422244870488242e-4,SSP3 vs SSP1,Pct_Q95
16011,4.955335417039549e-5,SSP3 vs SSP1,Pct_Q95
18002,2.0117182588578472e-4,SSP3 vs SSP1,Pct_Q95
18003,1.0280471984604439e-4,SSP3 vs SSP1,Pct_Q95
18006,1.0280471984604439e-4,SSP3 vs SSP1,Pct_Q95
18050,2.0117182588578472e-4,SSP3 vs SSP1,Pct_Q95
22006,4.955335417039549e-5,SSP3 vs SSP1,Pct_Q95
22035,7.174142320191586e-5,SSP3 vs SSP1,Pct_Q95
23002,2.743924536898019e-4,SSP3 vs SSP1,Pct_Q95
24008,0.0011145806676833734,SSP3 vs SSP1,Pct_Q95
24030,6.560272410319523e-4,SSP3 vs SSP1,Pct_Q95
25001,4.955335417039549e-5,SSP3 vs SSP1,Pct_Q95
25002,2.0117182588578472e-4,SSP3 vs SSP1,Pct_Q95
25006,2.2188069031520366e-5,SSP3 vs SSP1,Pct_Q95
25030,8.579386692187877e-4,SSP3 vs SSP1,Pct_Q95
25034,2.0117182588578472e-4,SSP3 vs SSP1,Pct_Q95
26021,1.0280471984604439e-4,SSP3 vs SSP1,Pct_Q95
26058,3.712803551274409e-4,SSP3 vs SSP1,Pct_Q95
27002,0.002316434406890727,SSP3 vs SSP1,Pct_Q95
30007,4.955335417039549e-5,SSP3 vs SSP1,Pct_Q95
32012,8.875227612608148e-6,SSP3 vs SSP1,Pct_Q95
33001,3.712803551274409e-4,SSP3 vs SSP1,Pct_Q95
34001,1.4422244870488242e-4,SSP3 vs SSP1,Pct_Q95
35002,7.174142320191586e-5,SSP3 vs SSP1,Pct_Q95
35005,7.174142320191586e-5,SSP3 vs SSP1,Pct_Q95
36015,3.712803551274409e-4,SSP3 vs SSP1,Pct_Q95
36019,0.0014326096571351653,SSP3 vs SSP1,Pct_Q95
38001,4.955335417039549e-5,SSP3 vs SSP1,Pct_Q95
39009,0.005559590496997955,SSP3 vs SSP1,Pct_Q95
6013,4.95533541703955e-4,SSP3 vs SSP1,Pct_Q95
6014,3.712803551274409e-4,SSP3 vs SSP1,Pct_Q95
7009,3.712803551274409e-4,SSP3 vs SSP1,Pct_Q95
7012,2.743924536898019e-4,SSP3 vs SSP1,Pct_Q95
12001,2.743924536898019e-4,SSP5 vs SSP1,Pct_BFI
14007,1.0280471984604439e-4,SSP5 vs SSP1,Pct_BFI
15003,3.328210354728055e-5,SSP5 vs SSP1,Pct_BFI
15006,1.0280471984604439e-4,SSP5 vs SSP1,Pct_BFI
15007,2.2188069031520366e-5,SSP5 vs SSP1,Pct_BFI
16008,8.875227612608148e-6,SSP5 vs SSP1,Pct_BFI
16011,2.958409204202716e-6,SSP5 vs SSP1,Pct_BFI
18002,3.712803551274409e-4,SSP5 vs SSP1,Pct_BFI
18003,1.0280471984604439e-4,SSP5 vs SSP1,Pct_BFI
